configuration,family,run_order,mcv_count,fd_count,total_count,subset_seed,phase,repetition,seconds,mcv_ids,fd_ids
mixed_16_16,mixed,4,16,16,32,3,measured,4,0.2816876829965622,1;3;7;11;15;17;21;23;24;26;27;28;29;32;34;35,1;2;3;8;12;14;15;16;18;20;21;22;24;26;27;31
mixed_16_16,mixed,4,16,16,32,3,measured,5,0.2587112189939944,1;3;7;11;15;17;21;23;24;26;27;28;29;32;34;35,1;2;3;8;12;14;15;16;18;20;21;22;24;26;27;31
mixed_16_16,mixed,4,16,16,32,3,measured,6,0.26464769399899524,1;3;7;11;15;17;21;23;24;26;27;28;29;32;34;35,1;2;3;8;12;14;15;16;18;20;21;22;24;26;27;31
mcv_28_s0,mcv_only,5,28,0,28,0,warmup,0,0.23814907899941318,0;2;3;5;6;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31;32;33;34;35,
mcv_28_s0,mcv_only,5,28,0,28,0,measured,0,0.227624242004822,0;2;3;5;6;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31;32;33;34;35,
mcv_28_s0,mcv_only,5,28,0,28,0,measured,1,0.22690948200033745,0;2;3;5;6;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31;32;33;34;35,
mcv_28_s0,mcv_only,5,28,0,28,0,measured,2,0.22794990499824053,0;2;3;5;6;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31;32;33;34;35,
mcv_28_s0,mcv_only,5,28,0,28,0,measured,3,0.2304867069979082,0;2;3;5;6;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31;32;33;34;35,
mcv_28_s0,mcv_only,5,28,0,28,0,measured,4,0.23056175900273956,0;2;3;5;6;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31;32;33;34;35,
mcv_28_s0,mcv_only,5,28,0,28,0,measured,5,0.21967146400129423,0;2;3;5;6;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31;32;33;34;35,
mcv_28_s0,mcv_only,5,28,0,28,0,measured,6,0.22016995499870973,0;2;3;5;6;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31;32;33;34;35,
fd_20_s0,fd_only,6,0,20,20,0,warmup,0,0.24047533099655993,,2;3;4;5;6;7;11;13;14;15;17;19;21;23;28;29;30;31;32;33
fd_20_s0,fd_only,6,0,20,20,0,measured,0,0.23063566200289642,,2;3;4;5;6;7;11;13;14;15;17;19;21;23;28;29;30;31;32;33
fd_20_s0,fd_only,6,0,20,20,0,measured,1,0.23170701199705945,,2;3;4;5;6;7;11;13;14;15;17;19;21;23;28;29;30;31;32;33
fd_20_s0,fd_only,6,0,20,20,0,measured,2,0.23314936899987515,,2;3;4;5;6;7;11;13;14;15;17;19;21;23;28;29;30;31;32;33
fd_20_s0,fd_only,6,0,20,20,0,measured,3,0.2330523490018095,,2;3;4;5;6;7;11;13;14;15;17;19;21;23;28;29;30;31;32;33
fd_20_s0,fd_only,6,0,20,20,0,measured,4,0.23463127099967096,,2;3;4;5;6;7;11;13;14;15;17;19;21;23;28;29;30;31;32;33
fd_20_s0,fd_only,6,0,20,20,0,measured,5,0.2250853069999721,,2;3;4;5;6;7;11;13;14;15;17;19;21;23;28;29;30;31;32;33
fd_20_s0,fd_only,6,0,20,20,0,measured,6,0.2312713569990592,,2;3;4;5;6;7;11;13;14;15;17;19;21;23;28;29;30;31;32;33
mixed_32_16,mixed,7,32,16,48,4,warmup,0,0.3535965060000308,0;1;2;3;4;5;7;8;10;11;12;13;15;16;17;18;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;6;7;12;14;16;19;21;22;25;26;28;29;30;31
mixed_32_16,mixed,7,32,16,48,4,measured,0,0.3384877589996904,0;1;2;3;4;5;7;8;10;11;12;13;15;16;17;18;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;6;7;12;14;16;19;21;22;25;26;28;29;30;31
mixed_32_16,mixed,7,32,16,48,4,measured,1,0.33711914400191745,0;1;2;3;4;5;7;8;10;11;12;13;15;16;17;18;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;6;7;12;14;16;19;21;22;25;26;28;29;30;31
mixed_32_16,mixed,7,32,16,48,4,measured,2,0.32581658200069796,0;1;2;3;4;5;7;8;10;11;12;13;15;16;17;18;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;6;7;12;14;16;19;21;22;25;26;28;29;30;31
mixed_32_16,mixed,7,32,16,48,4,measured,3,0.32384183300018776,0;1;2;3;4;5;7;8;10;11;12;13;15;16;17;18;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;6;7;12;14;16;19;21;22;25;26;28;29;30;31
mixed_32_16,mixed,7,32,16,48,4,measured,4,0.3400962060040911,0;1;2;3;4;5;7;8;10;11;12;13;15;16;17;18;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;6;7;12;14;16;19;21;22;25;26;28;29;30;31
mixed_32_16,mixed,7,32,16,48,4,measured,5,0.34008113099844195,0;1;2;3;4;5;7;8;10;11;12;13;15;16;17;18;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;6;7;12;14;16;19;21;22;25;26;28;29;30;31
mixed_32_16,mixed,7,32,16,48,4,measured,6,0.33430835499893874,0;1;2;3;4;5;7;8;10;11;12;13;15;16;17;18;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;6;7;12;14;16;19;21;22;25;26;28;29;30;31
mixed_36_34,mixed,8,36,34,70,7,warmup,0,0.466158800998528,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
mixed_36_34,mixed,8,36,34,70,7,measured,0,0.462729318998754,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
mixed_36_34,mixed,8,36,34,70,7,measured,1,0.45070497100095963,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
mixed_36_34,mixed,8,36,34,70,7,measured,2,0.443409558996791,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
mixed_36_34,mixed,8,36,34,70,7,measured,3,0.43704782699933276,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
mixed_36_34,mixed,8,36,34,70,7,measured,4,0.4616728039982263,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
mixed_36_34,mixed,8,36,34,70,7,measured,5,0.4519434870016994,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
mixed_36_34,mixed,8,36,34,70,7,measured,6,0.4390742549949209,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
mcv_12_s0,mcv_only,9,12,0,12,0,warmup,0,0.16787444499641424,0;8;9;10;11;13;17;19;20;21;25;31,
mcv_12_s0,mcv_only,9,12,0,12,0,measured,0,0.17247417900216533,0;8;9;10;11;13;17;19;20;21;25;31,
