budget_percent,budget_bytes,seed,selected,mcv,fd,mcv_bytes,fd_bytes,storage,utilization,train_mean,test_mean,train_empty_mean,test_empty_mean,train_improvement,test_improvement,test_relative_improvement,gap,negative_magnitude,harmful_regressions,single_removal_repair,repair_fraction,core_survival,core_survival_fraction,runtime_seconds,rounds
0,0,0,0,0,0,0,0,0,0.0,19.68518309941577,47.30533935706607,19.68518309941577,47.30533935706607,0.0,0.0,0.0,27.620156257650297,0.0,0,0.0,1.0,0,0.0,0.0,0
0,0,1,0,0,0,0,0,0,0.0,16.330617613066938,60.65222756870928,16.330617613066938,60.65222756870928,0.0,0.0,0.0,44.321609955642344,0.0,0,0.0,1.0,0,0.0,0.0,0
0,0,2,0,0,0,0,0,0,0.0,30.710127649211273,3.440134446177571,30.710127649211273,3.440134446177571,0.0,0.0,0.0,-27.269993203033703,0.0,0,0.0,1.0,0,0.0,0.0,0
0,0,3,0,0,0,0,0,0,0.0,30.753931952449697,3.2658492396757564,30.753931952449697,3.2658492396757564,0.0,0.0,0.0,-27.48808271277394,0.0,0,0.0,1.0,0,0.0,0.0,0
0,0,4,0,0,0,0,0,0,0.0,30.47823169973589,4.362784287707286,30.47823169973589,4.362784287707286,0.0,0.0,0.0,-26.115447412028605,0.0,0,0.0,1.0,0,0.0,0.0,0
0,0,5,0,0,0,0,0,0,0.0,19.931127979691837,46.32679270575489,19.931127979691837,46.32679270575489,0.0,0.0,0.0,26.395664726063053,0.0,0,0.0,1.0,0,0.0,0.0,0
0,0,6,0,0,0,0,0,0,0.0,24.286751829770182,28.99697015331553,24.286751829770182,28.99697015331553,0.0,0.0,0.0,4.710218323545348,0.0,0,0.0,1.0,0,0.0,0.0,0
0,0,7,0,0,0,0,0,0,0.0,27.385983295276123,16.665985386302527,27.385983295276123,16.665985386302527,0.0,0.0,0.0,-10.719997908973596,0.0,0,0.0,1.0,0,0.0,0.0,0
0,0,8,0,0,0,0,0,0,0.0,30.388923835905487,4.718115575713366,30.388923835905487,4.718115575713366,0.0,0.0,0.0,-25.67080826019212,0.0,0,0.0,1.0,0,0.0,0.0,0
0,0,9,0,0,0,0,0,0,0.0,24.688124964316223,27.400017469057886,24.688124964316223,27.400017469057886,0.0,0.0,0.0,2.7118925047416624,0.0,0,0.0,1.0,0,0.0,0.0,0
10,10506,0,40,24,16,10000,502,10502,0.9996192651818009,2.1416586907837663,4.083599163865098,19.68518309941577,47.30533935706607,17.543524408632003,43.221740193200965,0.9136757241494109,1.9419404730813317,4.294680782812565,7,4.267557233947134,0.9936843853508321,5,0.19230769230769232,1.902194944999792,4
10,10506,1,34,22,12,10094,408,10502,0.9996192651818009,1.8593577992687906,44.01011429415376,16.330617613066938,60.65222756870928,14.471259813798147,16.64211327455552,0.27438585426566015,42.150756494884966,606.9742149389357,8,606.974211618548,0.9999999945296066,10,0.38461538461538464,1.4056831380003132,2
10,10506,2,39,25,14,10054,448,10502,0.9996192651818009,2.5233184273695235,2.1774377578206168,30.710127649211273,3.440134446177571,28.186809221841752,1.2626966883569544,0.3670486453690703,-0.3458806695489067,6.045810296839704e-09,1,6.045810296839704e-09,1.0,6,0.23076923076923078,1.7757980850001331,3
10,10506,3,32,26,6,10300,190,10490,0.9984770607272035,2.535294435979184,2.09963499632324,30.753931952449697,3.2658492396757564,28.218637516470512,1.1662142433525167,0.3570937167535333,-0.4356594396559439,4.133723300865313,9,4.133723272526172,0.999999993144403,6,0.23076923076923078,1.3433157399995252,1
10,10506,4,41,24,17,9924,571,10495,0.9989529792499524,2.5919863440676636,2.0438036411996747,30.47823169973589,4.362784287707286,27.886245355668226,2.3189806465076117,0.531536856644882,-0.5481827028679889,4.482327442976849,10,3.2041951995118403,0.7148507645358095,9,0.34615384615384615,1.643670473000384,2
10,10506,5,40,23,17,9962,543,10505,0.9999048162954502,2.179872321970401,46.25503351599228,19.931127979691837,46.32679270575489,17.751255657721437,0.07175918976261218,0.0015489781521978313,44.07516119402188,1.6472476357221135,9,1.3134100248125686,0.7973361116628961,7,0.2692307692307692,1.8522227110006497,4
10,10506,6,44,25,19,9884,611,10495,0.9989529792499524,2.5440088794139974,34.1555014830852,24.286751829770182,28.99697015331553,21.742742950356185,-5.158531329769674,-0.1778989771170918,31.611492603671206,608.4471211316436,5,607.2670628628952,0.9980605409611378,7,0.2692307692307692,1.6695936979995167,2
10,10506,7,37,26,11,10156,339,10495,0.9989529792499524,2.3419665784017694,16.646113501964813,27.385983295276123,16.665985386302527,25.044016716874356,0.0198718843377158,0.0011923618002238343,14.304146923563042,1.2814346195583017,7,1.2814313132744861,0.9999974198575837,7,0.2692307692307692,1.6462164660006238,2
10,10506,8,40,25,15,10028,475,10503,0.9997144488863506,2.3854876669262195,3.251896922741597,30.388923835905487,4.718115575713366,28.003436168979267,1.4662186529717691,0.3107636151431244,0.8664092558153773,1.6897436768353475,8,1.6849711555614941,0.9971755945358578,9,0.34615384615384615,1.689743733000796,3
10,10506,9,37,22,15,9994,503,10497,0.999143346659052,2.0362214937688288,4.353756897031747,24.688124964316223,27.400017469057886,22.651903470547396,23.04626057202614,0.841103864187374,2.3175354032629185,3.0405697407640133,8,1.825922070202077,0.6005197136978914,8,0.3076923076923077,1.7717444749978313,3
20,21012,0,61,38,23,20270,733,21003,0.999571673329526,1.9383984593511159,3.5478101425470108,19.68518309941577,47.30533935706607,17.746784640064654,43.75752921451906,0.9250019090706075,1.609411683195895,4.809939732475312,11,2.8358149186714927,0.5895738983016556,11,0.4230769230769231,4.48380765100228,11
20,21012,1,74,42,32,19964,1046,21010,0.9999048162954502,1.6874488964781036,44.202259636678335,16.330617613066938,60.65222756870928,14.643168716588834,16.44996793203095,0.2712178693419919,42.51481074020023,608.5436208896797,12,608.543617569292,0.9999999945437146,13,0.5,3.6286135609989287,3
20,21012,2,67,38,29,20116,895,21011,0.9999524081477251,2.309000918096274,2.165044400796175,30.710127649211273,3.440134446177571,28.401126731115003,1.2750900453813963,0.37065122463402095,-0.14395651730009895,0.3096176956963259,4,0.3096176956963259,1.0,11,0.4230769230769231,4.138531268999941,8
20,21012,3,69,44,25,20224,787,21011,0.9999524081477251,2.323830586557199,3.5197287633313907,30.753931952449697,3.2658492396757564,28.4301013658925,-0.2538795236556341,-0.07773767403936871,1.1958981767741919,33.033118079280655,14,32.95939494814588,0.9977682055034031,13,0.5,3.137787494000804,3
20,21012,4,70,38,32,19988,1018,21006,0.9997144488863506,2.409143110841893,3.4252384536635563,30.47823169973589,4.362784287707286,28.069088588893994,0.9375458340437302,0.21489621586045127,1.0160953428216635,32.020838074862596,15,31.85244401970089,0.9947411103117285,11,0.4230769230769231,3.7596871360001387,5
20,21012,5,83,41,42,19722,1288,21010,0.9999048162954502,1.9776051133838708,46.22272317317547,19.931127979691837,46.32679270575489,17.953522866307967,0.10406953257942153,0.002246422135035772,44.245118059791594,3.726787339686167,13,3.3409820787675244,0.8964777901839895,13,0.5,4.21817026500139,5
20,21012,6,73,40,33,19948,1059,21007,0.9997620407386255,2.3522588154151585,34.095915796270454,24.286751829770182,28.99697015331553,21.934493014355024,-5.09894564295492,-0.17584408357132802,31.743656980855295,607.5583640574296,8,607.5469018582528,0.9999811339949297,12,0.46153846153846156,3.8324254139988625,6
20,21012,7,69,40,29,20092,909,21001,0.9994764896249761,2.1542549174269947,16.100187382341023,27.385983295276123,16.665985386302527,25.231728377849127,0.5657980039615065,0.033949267975869314,13.945932464914028,2.3578266292981906,10,2.0444696596888,0.8670992320997487,11,0.4230769230769231,3.4177975279999373,4
20,21012,8,75,40,35,19930,1071,21001,0.9994764896249761,2.22152167151138,4.676697885651745,30.388923835905487,4.718115575713366,28.167402164394105,0.041417690061621215,0.008778439060463028,2.455176214140365,2.7841935942580456,15,2.779421072984192,0.9982858514998038,13,0.5,3.4355018949972873,3
20,21012,9,68,38,30,20058,950,21008,0.9998096325909004,1.873629704079053,4.237107425330418,24.688124964316223,27.400017469057886,22.81449526023717,23.162910043727468,0.8453611414622173,2.363477721251365,1.532449403029714,11,1.4978600012161682,0.9774286826402483,11,0.4230769230769231,3.758613025001978,6
40,42024,0,146,84,62,40166,1856,42022,0.9999524081477251,1.8320627481397946,3.5791395045001284,19.68518309941577,47.30533935706607,17.853120351275976,43.72619985256594,0.9243396294552635,1.7470767563603338,12.185762725876712,24,9.98954715190831,0.8197720057929001,17,0.6538461538461539,17.78665030299817,31
40,42024,1,141,84,57,40252,1763,42015,0.999785836664763,1.5837971057693296,38.30386893397139,16.330617613066938,60.65222756870928,14.746820507297608,22.348358634737895,0.3684672357568529,36.72007182820206,74.44801102896237,15,74.34364749730076,0.9985981689743061,17,0.6538461538461539,12.664246544001799,17
40,42024,2,144,82,62,40164,1856,42020,0.9999048162954502,2.1661383534349326,2.195439791428054,30.710127649211273,3.440134446177571,28.543989295776342,1.244694654749517,0.361815700584764,0.02930143799312157,2.8543757541557047,14,2.838761250816877,0.9945296258503827,17,0.6538461538461539,15.08722162399863,22
