candidate,mechanism,cost,selection_frequency,selected_splits,train_structural,test_structural,train_consumers,test_consumers,train_positive,train_negative,test_positive,test_negative,train_benefit,test_benefit
fd:714,fd,27,0.6,6,12,0,6,0,6,0,0,0,0.029230263744303375,0.0
mcv:665,mcv,664,0.4,4,15,5,9,1,9,0,0,1,1.2237786695623416,-0.028833976787348226
fd:659,fd,27,0.5,5,5,0,5,0,5,0,0,0,0.0017343666058289298,0.0
fd:366,fd,27,0.2,2,3,1,2,0,2,0,0,0,0.006066088303400052,0.0
fd:430,fd,27,0.5,5,12,3,10,2,8,2,1,1,0.001589275234193499,-2.4193580744125143e-05
mcv:674,mcv,296,0.7,7,27,8,9,1,9,0,1,0,8.33950265298766,0.3568380158149267
mcv:2004,mcv,388,0.6,6,12,0,6,0,6,0,0,0,3.952249313934462,0.0
mcv:1348,mcv,434,0.4,4,12,4,4,0,4,0,0,0,0.3974487775236806,0.0
mcv:1595,mcv,170,0.7,7,18,3,12,3,12,0,2,1,0.6212800091598718,-0.012596759667982349
fd:451,fd,27,0.8,8,8,0,8,0,8,0,0,0,0.32838311764147554,0.0
fd:222,fd,27,0.3,3,14,1,3,0,3,0,0,0,0.07160634176324909,0.0
mcv:530,mcv,414,0.8,8,38,10,22,4,16,6,2,2,19337.782683320962,2380.6785569922267
mcv:1076,mcv,594,0.8,8,24,8,11,2,8,3,0,2,12.12320002856096,-0.08176645543465444
mcv:1195,mcv,496,0.6,6,20,4,12,3,10,2,0,3,0.5974453780072728,-0.08951803260137758
mcv:1314,mcv,340,0.5,5,18,2,6,1,6,0,0,1,1.7608564720428799,-0.5160411760227903
mcv:1860,mcv,278,0.8,8,13,3,8,0,8,0,0,0,7.7792696746706875,0.0
fd:524,fd,27,0.1,1,1,0,1,0,1,0,0,0,0.02956043631798444,0.0
mcv:1213,mcv,808,0.7,7,26,2,15,1,10,5,1,0,15.379693103587089,2.438067806937198
mcv:1997,mcv,406,0.6,6,11,1,8,1,8,0,1,0,1.9875642749837046,0.10620595584303572
mcv:1396,mcv,196,0.4,4,10,6,5,5,4,1,2,3,0.08992360460564952,0.04087664809101277
mcv:1341,mcv,148,0.2,2,7,1,3,0,3,0,0,0,0.05240847630248968,0.0
fd:69,fd,27,0.4,4,4,0,4,0,4,0,0,0,0.10592473435800431,0.0
mcv:1999,mcv,366,0.7,7,13,1,7,0,7,0,0,0,4.598035947875838,0.0
fd:142,fd,27,0.3,3,11,1,3,0,3,0,0,0,0.0011371571766234378,0.0
mcv:813,mcv,288,0.2,2,9,1,5,1,5,0,1,0,1.3000371798723784,3.7608220981866225e-09
fd:688,fd,27,0.4,4,4,0,4,0,4,0,0,0,0.0018517392371051322,0.0
fd:151,fd,27,0.7,7,15,6,7,2,7,0,2,0,0.529794204125009,0.2938657650959744
mcv:1725,mcv,1350,0.2,2,5,1,3,1,3,0,1,0,0.34509256316452297,0.03842772291148422
