configuration,family,run_order,mcv_count,fd_count,total_count,subset_seed,phase,repetition,seconds,mcv_ids,fd_ids
mixed_16_16,mixed,4,16,16,32,3,measured,4,0.29005793200121843,1;3;7;11;15;17;21;23;24;26;27;28;29;32;34;35,2;3;8;12;14;15;16;18;20;21;22;24;26;27;31;32
mixed_16_16,mixed,4,16,16,32,3,measured,5,0.2769113379999908,1;3;7;11;15;17;21;23;24;26;27;28;29;32;34;35,2;3;8;12;14;15;16;18;20;21;22;24;26;27;31;32
mixed_16_16,mixed,4,16,16,32,3,measured,6,0.266329942000084,1;3;7;11;15;17;21;23;24;26;27;28;29;32;34;35,2;3;8;12;14;15;16;18;20;21;22;24;26;27;31;32
mcv_28_s0,mcv_only,5,28,0,28,0,warmup,0,0.23157716300011089,0;2;3;5;6;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31;32;33;34;35,
mcv_28_s0,mcv_only,5,28,0,28,0,measured,0,0.22918550099893764,0;2;3;5;6;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31;32;33;34;35,
mcv_28_s0,mcv_only,5,28,0,28,0,measured,1,0.2451983580012893,0;2;3;5;6;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31;32;33;34;35,
mcv_28_s0,mcv_only,5,28,0,28,0,measured,2,0.25164446300004784,0;2;3;5;6;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31;32;33;34;35,
mcv_28_s0,mcv_only,5,28,0,28,0,measured,3,0.24640203100170766,0;2;3;5;6;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31;32;33;34;35,
mcv_28_s0,mcv_only,5,28,0,28,0,measured,4,0.24033719500039297,0;2;3;5;6;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31;32;33;34;35,
mcv_28_s0,mcv_only,5,28,0,28,0,measured,5,0.23680561499895703,0;2;3;5;6;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31;32;33;34;35,
mcv_28_s0,mcv_only,5,28,0,28,0,measured,6,0.22689760100001877,0;2;3;5;6;9;11;12;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;31;32;33;34;35,
fd_20_s0,fd_only,6,0,20,20,0,warmup,0,0.23778076200142095,,2;3;4;5;6;7;11;13;14;15;17;19;21;23;28;29;30;32;33;34
fd_20_s0,fd_only,6,0,20,20,0,measured,0,0.24809987300068315,,2;3;4;5;6;7;11;13;14;15;17;19;21;23;28;29;30;32;33;34
fd_20_s0,fd_only,6,0,20,20,0,measured,1,0.23546142999839503,,2;3;4;5;6;7;11;13;14;15;17;19;21;23;28;29;30;32;33;34
fd_20_s0,fd_only,6,0,20,20,0,measured,2,0.24749922800037893,,2;3;4;5;6;7;11;13;14;15;17;19;21;23;28;29;30;32;33;34
fd_20_s0,fd_only,6,0,20,20,0,measured,3,0.23905915700015612,,2;3;4;5;6;7;11;13;14;15;17;19;21;23;28;29;30;32;33;34
fd_20_s0,fd_only,6,0,20,20,0,measured,4,0.23088987800110772,,2;3;4;5;6;7;11;13;14;15;17;19;21;23;28;29;30;32;33;34
fd_20_s0,fd_only,6,0,20,20,0,measured,5,0.22974322400114033,,2;3;4;5;6;7;11;13;14;15;17;19;21;23;28;29;30;32;33;34
fd_20_s0,fd_only,6,0,20,20,0,measured,6,0.2512393470005918,,2;3;4;5;6;7;11;13;14;15;17;19;21;23;28;29;30;32;33;34
mixed_32_16,mixed,7,32,16,48,4,warmup,0,0.3449250670000765,0;1;2;3;4;5;7;8;10;11;12;13;15;16;17;18;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;3;6;7;12;14;19;21;22;23;26;29;30;31;33;34
mixed_32_16,mixed,7,32,16,48,4,measured,0,0.34927117000006547,0;1;2;3;4;5;7;8;10;11;12;13;15;16;17;18;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;3;6;7;12;14;19;21;22;23;26;29;30;31;33;34
mixed_32_16,mixed,7,32,16,48,4,measured,1,0.34778058800111467,0;1;2;3;4;5;7;8;10;11;12;13;15;16;17;18;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;3;6;7;12;14;19;21;22;23;26;29;30;31;33;34
mixed_32_16,mixed,7,32,16,48,4,measured,2,0.3580105060009373,0;1;2;3;4;5;7;8;10;11;12;13;15;16;17;18;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;3;6;7;12;14;19;21;22;23;26;29;30;31;33;34
mixed_32_16,mixed,7,32,16,48,4,measured,3,0.3471141809986875,0;1;2;3;4;5;7;8;10;11;12;13;15;16;17;18;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;3;6;7;12;14;19;21;22;23;26;29;30;31;33;34
mixed_32_16,mixed,7,32,16,48,4,measured,4,0.341921530000036,0;1;2;3;4;5;7;8;10;11;12;13;15;16;17;18;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;3;6;7;12;14;19;21;22;23;26;29;30;31;33;34
mixed_32_16,mixed,7,32,16,48,4,measured,5,0.3451663750001899,0;1;2;3;4;5;7;8;10;11;12;13;15;16;17;18;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;3;6;7;12;14;19;21;22;23;26;29;30;31;33;34
mixed_32_16,mixed,7,32,16,48,4,measured,6,0.3443807929998002,0;1;2;3;4;5;7;8;10;11;12;13;15;16;17;18;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;3;6;7;12;14;19;21;22;23;26;29;30;31;33;34
mixed_36_35,mixed,8,36,35,71,7,warmup,0,0.46791407800083107,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
mixed_36_35,mixed,8,36,35,71,7,measured,0,0.48805271799938055,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
mixed_36_35,mixed,8,36,35,71,7,measured,1,0.49242614499962656,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
